Frequency,Monetary,Recency,CustomerID,R_Score,F_Score,M_Score,RFM_Score,Segment,KMeans_Cluster
1,230.4,366,13786,1,1,1,111,About to Sleep,1
2,309.04,75,13787,2,2,2,222,About to Sleep,0
1,348.8,3,13790,5,1,2,512,New Customers,0
2,1516.0,127,13791,2,2,4,224,About to Sleep,5
2,195.55,65,13792,3,2,1,321,Lost,0
57,37153.85,0,13798,5,5,5,555,Champions,4
2,688.86,116,13799,2,2,3,223,About to Sleep,5
1,558.32,309,13800,1,1,3,113,About to Sleep,1
1,324.8,66,13801,3,1,2,312,Lost,0
3,4599.42,138,13802,2,3,5,235,At Risk,5
1,277.07,254,13803,1,1,2,112,About to Sleep,1
7,2635.79,30,13804,4,5,5,455,Champions,7
2,924.6,51,13805,3,2,3,323,Promising,0
1,256.38,63,13806,3,1,2,312,Lost,0
1,112.6,366,13807,1,1,1,111,About to Sleep,1
5,1747.66,5,13808,5,4,4,544,Champions,0
1,155.05,304,13809,1,1,1,111,About to Sleep,1
3,1499.01,28,13810,4,3,4,434,Loyal Customers,0
3,814.5,183,13811,1,3,3,133,At Risk,5
3,539.0,41,13812,3,3,3,333,Loyal Customers,0
4,1366.86,39,13813,3,4,4,344,Loyal Customers,0
2,1579.12,91,13814,2,2,4,224,About to Sleep,0
4,4027.36,21,13815,4,4,5,445,Champions,0
2,571.67,23,13816,4,2,3,423,Potential Loyalists,0
2,382.98,28,13817,4,2,2,422,Potential Loyalists,0
3,1140.35,301,13819,1,3,4,134,At Risk,1
2,385.64,144,13821,2,2,2,222,About to Sleep,5
2,632.0,5,13822,5,2,3,523,Potential Loyalists,0
2,957.66,18,13823,4,2,4,424,Potential Loyalists,0
5,1698.94,32,13824,3,4,4,344,Loyal Customers,0
1,189.5,175,13826,2,1,1,211,About to Sleep,5
3,412.05,57,13827,3,3,2,332,Loyal Customers,0
1,209.49,21,13828,4,1,1,411,New Customers,0
6,2202.99,15,13831,4,5,5,455,Champions,0
1,52.2,18,13832,4,1,1,411,New Customers,0
1,384.8,158,13833,2,1,2,212,About to Sleep,5
4,834.57,24,13835,4,4,3,443,Loyal Customers,0
2,271.24,211,13837,1,2,2,122,About to Sleep,5
4,691.73,5,13838,5,4,3,543,Loyal Customers,0
1,85.0,252,13841,1,1,1,111,About to Sleep,1
9,3385.62,58,13842,3,5,5,355,Loyal Customers,7
1,361.62,10,13844,5,1,2,512,New Customers,0
1,312.98,64,13845,3,1,2,312,Lost,0
3,865.06,24,13846,4,3,3,433,Loyal Customers,0
3,1255.0,91,13848,2,3,4,234,At Risk,0
2,1537.95,51,13849,3,2,4,324,Promising,0
1,1595.48,128,13850,2,1,4,214,About to Sleep,5
3,2651.46,95,13851,2,3,5,235,At Risk,0
1,1090.14,56,13853,3,1,4,314,Promising,0
25,8109.52,8,13854,5,5,5,555,Champions,4
3,388.5,168,13856,2,3,2,232,At Risk,5
1,216.17,56,13858,3,1,1,311,Lost,0
1,201.16,325,13859,1,1,1,111,About to Sleep,1
5,1245.9,0,13860,5,4,4,544,Champions,0
8,2209.36,17,13862,4,5,5,455,Champions,7
1,305.78,247,13863,1,1,2,112,About to Sleep,1
4,501.56,57,13865,3,4,3,343,Loyal Customers,0
1,145.67,73,13866,2,1,1,211,About to Sleep,0
3,1015.29,30,13867,4,3,4,434,Loyal Customers,0
2,3192.54,6,13868,5,2,5,525,Potential Loyalists,0
4,3104.95,122,13869,2,4,5,245,At Risk,5
8,2770.94,1,13870,5,5,5,555,Champions,7
13,6403.25,22,13871,4,5,5,455,Champions,7
3,389.6,119,13873,2,3,2,232,At Risk,5
1,540.45,357,13874,1,1,3,113,About to Sleep,1
5,1786.79,53,13875,3,4,4,344,Loyal Customers,0
1,122.7,63,13876,3,1,1,311,Lost,0
1,117.24,85,13877,2,1,1,211,About to Sleep,0
1,1281.53,54,13878,3,1,4,314,Promising,0
13,3219.77,20,13880,4,5,5,455,Champions,7
20,17159.52,3,13881,5,5,5,555,Champions,4
5,1191.13,2,13882,5,4,4,544,Champions,0
5,2674.48,10,13883,5,4,5,545,Champions,0
5,787.6,6,13884,5,4,3,543,Loyal Customers,0
2,506.8,188,13885,1,2,3,123,About to Sleep,5
1,243.56,70,13886,3,1,1,311,Lost,0
1,349.55,203,13887,1,1,2,112,About to Sleep,5
2,605.63,119,13888,2,2,3,223,About to Sleep,5
1,416.9,92,13889,2,1,2,212,About to Sleep,0
10,1883.81,0,13890,5,5,4,554,Champions,7
4,632.97,26,13892,4,4,3,443,Loyal Customers,0
1,821.1,297,13893,1,1,3,113,About to Sleep,1
3,564.62,23,13894,4,3,3,433,Loyal Customers,0
4,2593.07,27,13895,4,4,5,445,Champions,0
1,311.16,49,13897,3,1,2,312,Lost,0
1,155.93,325,13898,1,1,1,111,About to Sleep,1
2,388.52,15,13899,4,2,2,422,Potential Loyalists,0
3,740.95,182,13900,1,3,3,133,At Risk,5
5,2867.2,71,13901,2,4,5,245,At Risk,0
2,332.64,36,13904,3,2,2,322,Lost,0
4,2369.55,79,13908,2,4,5,245,At Risk,0
9,2580.91,56,13911,3,5,5,355,Loyal Customers,7
2,626.45,11,13914,5,2,3,523,Potential Loyalists,0
2,272.04,49,13917,3,2,2,322,Lost,0
2,1212.84,49,13918,3,2,4,324,Promising,0
2,384.81,58,13919,3,2,2,322,Lost,0
1,172.25,351,13922,1,1,1,111,About to Sleep,1
1,351.13,53,13923,3,1,2,312,Lost,0
6,1838.85,1,13924,5,5,4,554,Champions,0
4,678.25,92,13925,2,4,3,243,At Risk,0
1,223.85,22,13926,4,1,1,411,New Customers,0
1,348.99,74,13927,2,1,2,212,About to Sleep,0
4,464.57,10,13928,5,4,2,542,Loyal Customers,0
2,842.65,168,13929,2,2,3,223,About to Sleep,5
2,337.34,57,13930,3,2,2,322,Lost,0
2,1237.53,95,13931,2,2,4,224,About to Sleep,0
1,307.4,294,13932,1,1,2,112,About to Sleep,1
2,608.79,108,13933,2,2,3,223,About to Sleep,5
1,922.1,263,13934,1,1,3,113,About to Sleep,1
1,376.58,179,13936,1,1,2,112,About to Sleep,5
1,158.85,168,13937,2,1,1,211,About to Sleep,5
1,71.66,34,13938,3,1,1,311,Lost,0
3,568.55,22,13939,4,3,3,433,Loyal Customers,0
4,839.14,16,13940,4,4,3,443,Loyal Customers,0
5,5112.96,21,13941,4,4,5,445,Champions,0
3,561.57,78,13946,2,3,3,233,At Risk,0
1,90.6,64,13947,3,1,1,311,Lost,0
1,102.0,360,13948,1,1,1,111,About to Sleep,1
6,2427.32,2,13949,5,5,5,555,Champions,7
4,745.06,10,13950,5,4,3,543,Loyal Customers,0
3,674.45,175,13951,2,3,3,233,At Risk,5
2,3251.07,217,13952,1,2,5,125,About to Sleep,5
7,3515.68,6,13953,5,5,5,555,Champions,7
2,439.92,1,13954,5,3,2,532,Loyal Customers,0
2,322.96,153,13955,2,3,2,232,At Risk,5
5,1026.42,4,13956,5,4,4,544,Champions,0
3,598.2,78,13959,2,3,3,233,At Risk,0
2,230.22,20,13960,4,3,1,431,Loyal Customers,0
2,169.55,21,13962,4,3,1,431,Loyal Customers,0
4,664.54,307,13963,1,4,3,143,At Risk,1
1,80.7,145,13967,2,1,1,211,About to Sleep,5
18,9053.94,6,13969,5,5,5,555,Champions,7
8,2758.26,18,13971,4,5,5,455,Champions,7
2,190.25,70,13972,3,3,1,331,Loyal Customers,0
1,264.7,286,13973,1,1,2,112,About to Sleep,1
1,413.59,48,13974,3,1,2,312,Lost,0
6,2526.28,30,13975,4,5,5,455,Champions,0
1,357.98,206,13976,1,1,2,112,About to Sleep,5
2,196.79,14,13978,4,3,1,431,Loyal Customers,0
1,869.87,72,13979,2,1,3,213,About to Sleep,0
1,200.14,59,13980,3,1,1,311,Lost,0
4,1871.81,38,13982,3,4,4,344,Loyal Customers,0
12,2603.43,29,13983,4,5,5,455,Champions,7
5,920.51,26,13984,4,4,3,443,Loyal Customers,0
15,7060.13,3,13985,5,5,5,555,Champions,7
1,320.46,16,13986,4,1,2,412,New Customers,0
6,4147.96,19,13988,4,5,5,455,Champions,7
2,1266.08,65,13989,3,3,4,334,Loyal Customers,0
1,311.3,212,13990,1,1,2,112,About to Sleep,5
6,855.97,11,13991,5,5,3,553,Loyal Customers,0
1,76.8,29,13992,4,1,1,411,New Customers,0
9,3466.36,42,13993,3,5,5,355,Loyal Customers,7
6,2313.14,3,13994,5,5,5,555,Champions,7
5,1393.69,14,13995,4,4,4,444,Champions,0
12,3901.81,9,13999,5,5,5,555,Champions,7
1,635.66,210,14000,1,1,3,113,About to Sleep,5
3,2043.08,45,14001,3,3,4,334,Loyal Customers,0
2,529.73,133,14002,2,3,3,233,At Risk,5
7,4582.64,42,14004,3,5,5,355,Loyal Customers,7
5,2874.72,9,14005,5,4,5,545,Champions,0
3,962.19,115,14006,2,3,4,234,At Risk,5
2,695.61,197,14009,1,3,3,133,At Risk,5
1,328.8,277,14012,1,1,2,112,About to Sleep,1
3,473.02,109,14013,2,3,2,232,At Risk,5
1,505.18,76,14014,2,1,3,213,About to Sleep,0
1,917.34,52,14015,3,1,3,313,Promising,0
4,4341.21,161,14016,2,4,5,245,At Risk,5
3,1421.61,46,14019,3,3,4,334,Loyal Customers,0
2,642.8,16,14020,4,3,3,433,Loyal Customers,0
3,631.9,154,14021,2,3,3,233,At Risk,5
1,440.0,224,14022,1,1,2,112,About to Sleep,5
2,584.07,6,14023,5,3,3,533,Loyal Customers,0
2,327.7,121,14024,2,3,2,232,At Risk,5
1,104.82,60,14027,3,1,1,311,Lost,0
2,467.66,62,14029,3,3,2,332,Loyal Customers,0
8,2360.09,17,14030,4,5,5,455,Champions,7
19,17286.86,6,14031,5,5,5,555,Champions,4
11,2975.59,1,14032,5,5,5,555,Champions,7
3,651.82,21,14034,4,3,3,433,Loyal Customers,0
5,1428.02,28,14035,4,4,4,444,Champions,0
1,626.65,284,14036,1,1,3,113,About to Sleep,1
2,147.2,175,14037,2,3,1,231,At Risk,5
3,1560.38,77,14038,2,3,4,234,At Risk,0
1,152.2,32,14039,3,1,1,311,Lost,0
12,3614.92,40,14040,3,5,5,355,Loyal Customers,7
1,141.41,265,14041,1,1,1,111,About to Sleep,1
4,652.82,26,14044,4,4,3,443,Loyal Customers,0
4,1659.75,108,14045,2,4,4,244,At Risk,5
1,154.99,283,14046,1,1,1,111,About to Sleep,1
5,1308.61,8,14047,5,4,4,544,Champions,0
1,409.93,304,14048,1,1,2,112,About to Sleep,1
4,5681.72,16,14049,4,4,5,445,Champions,0
2,746.36,31,14050,4,3,3,433,Loyal Customers,0
23,15610.39,0,14051,5,5,5,555,Champions,4
1,225.36,19,14052,4,1,1,411,New Customers,0
2,260.25,123,14053,2,3,2,232,At Risk,5
1,92.46,64,14054,3,1,1,311,Lost,0
1,725.64,105,14055,2,1,3,213,About to Sleep,5
23,8214.65,0,14056,5,5,5,555,Champions,4
17,6217.96,23,14057,4,5,5,455,Champions,7
1,183.6,266,14059,1,1,1,111,About to Sleep,1
19,6140.42,4,14060,5,5,5,555,Champions,7
12,10464.85,9,14062,5,5,5,555,Champions,7
5,1353.74,28,14064,4,4,4,444,Champions,0
1,152.55,266,14066,1,1,1,111,About to Sleep,1
2,374.7,63,14067,3,3,2,332,Loyal Customers,0
1,265.85,319,14068,1,1,2,112,About to Sleep,1
8,1438.82,3,14071,5,5,4,554,Champions,7
1,151.04,31,14073,4,1,1,411,New Customers,0
3,942.26,4,14075,5,3,3,533,Loyal Customers,0
1,122.47,128,14076,2,1,1,211,About to Sleep,5
5,499.42,40,14077,3,4,3,343,Loyal Customers,0
6,1049.37,101,14078,2,5,4,254,At Risk,5
1,375.1,124,14079,2,1,2,212,About to Sleep,5
1,45.6,32,14080,3,1,1,311,Lost,0
2,934.52,301,14081,1,3,3,133,At Risk,1
1,182.25,364,14082,1,1,1,111,About to Sleep,1
9,1018.43,3,14083,5,5,4,554,Champions,7
18,4448.54,1,14085,5,5,5,555,Champions,7
1,194.42,2,14087,5,1,1,511,New Customers,0
13,50491.81,9,14088,5,5,5,555,Champions,3
1,161.0,56,14089,3,1,1,311,Lost,0
1,76.32,324,14090,1,1,1,111,About to Sleep,1
14,4076.91,7,14092,5,5,5,555,Champions,7
1,442.85,11,14093,5,1,2,512,New Customers,0
17,65164.79,3,14096,5,5,5,555,Champions,3
1,147.35,36,14098,3,1,1,311,Lost,0
11,3104.17,15,14099,4,5,5,455,Champions,7
1,194.9,137,14100,2,1,1,211,About to Sleep,5
6,5976.79,73,14101,2,5,5,255,At Risk,7
5,1360.28,4,14102,5,4,4,544,Champions,0
2,216.21,154,14104,2,3,1,231,At Risk,5
1,1266.23,238,14105,1,1,4,114,About to Sleep,1
7,2703.23,51,14107,3,5,5,355,Loyal Customers,7
2,597.91,30,14108,4,3,3,433,Loyal Customers,0
1,144.2,72,14109,2,1,1,211,About to Sleep,0
12,5683.15,3,14110,5,5,5,555,Champions,7
4,692.85,13,14111,4,4,3,443,Loyal Customers,0
7,2915.15,22,14112,4,5,5,455,Champions,7
4,1840.42,3,14113,5,4,4,544,Champions,0
2,386.53,273,14114,1,3,2,132,At Risk,1
5,1382.74,19,14116,4,4,4,444,Champions,0
1,90.0,143,14117,2,1,1,211,About to Sleep,5
4,2780.15,3,14121,5,4,5,545,Champions,0
1,419.58,83,14124,2,1,2,212,About to Sleep,0
3,2740.43,10,14125,5,3,5,535,Loyal Customers,0
3,706.13,7,14126,5,3,3,533,Loyal Customers,0
3,709.71,122,14127,2,3,3,233,At Risk,5
2,637.5,60,14128,3,3,3,333,Loyal Customers,0
5,1123.86,1,14129,5,4,4,544,Champions,0
1,483.86,318,14130,1,1,2,112,About to Sleep,1
11,3586.03,1,14132,5,5,5,555,Champions,7
3,605.64,129,14133,2,3,3,233,At Risk,5
15,4690.31,1,14135,5,5,5,555,Champions,7
2,982.38,1,14138,5,3,4,534,Loyal Customers,0
1,415.82,45,14139,3,1,2,312,Lost,0
2,935.05,3,14140,5,3,3,533,Loyal Customers,0
4,915.13,2,14141,5,4,3,543,Loyal Customers,0
1,311.81,372,14142,1,1,2,112,About to Sleep,1
1,115.8,133,14143,2,1,1,211,About to Sleep,5
4,3742.2,46,14145,3,4,5,345,Loyal Customers,0
5,4191.0,8,14146,5,4,5,545,Champions,0
2,483.4,77,14147,2,3,2,232,At Risk,0
1,157.2,233,14148,1,1,1,111,About to Sleep,1
1,446.62,220,14149,1,1,2,112,About to Sleep,5
2,658.64,35,14150,3,3,3,333,Loyal Customers,0
2,621.29,74,14152,2,3,3,233,At Risk,0
2,1345.62,238,14154,1,3,4,134,At Risk,1
1,118.75,265,14155,1,1,1,111,About to Sleep,1
55,117379.63,9,14156,5,5,5,555,Champions,3
2,432.88,19,14157,4,3,2,432,Loyal Customers,0
1,507.66,39,14158,3,1,3,313,Promising,0
11,4693.01,19,14159,4,5,5,455,Champions,7
3,1110.52,215,14161,1,3,4,134,At Risk,5
2,289.36,173,14162,2,3,2,232,At Risk,5
4,2445.91,86,14163,2,4,5,245,At Risk,0
2,1631.77,70,14164,3,3,4,334,Loyal Customers,0
1,122.54,275,14165,1,1,1,111,About to Sleep,1
4,574.84,38,14167,3,4,3,343,Loyal Customers,0
1,363.79,97,14171,2,1,2,212,About to Sleep,5
4,450.84,10,14173,5,4,2,542,Loyal Customers,0
1,134.46,32,14174,3,1,1,311,Lost,0
3,3222.3,59,14175,3,3,5,335,Loyal Customers,0
4,576.9,296,14176,1,4,3,143,At Risk,1
4,559.41,85,14177,2,4,3,243,At Risk,0
7,1620.93,8,14178,5,5,4,554,Champions,7
2,719.78,40,14179,3,3,3,333,Loyal Customers,0
25,4748.52,10,14180,5,5,5,555,Champions,4
1,452.89,66,14184,3,1,2,312,Lost,0
1,197.65,330,14185,1,1,1,111,About to Sleep,1
6,2054.36,30,14188,4,5,4,454,Champions,0
15,4654.08,1,14189,5,5,5,555,Champions,7
13,4684.76,1,14191,5,5,5,555,Champions,7
2,853.39,67,14193,3,3,3,333,Loyal Customers,0
21,11349.52,4,14194,5,5,5,555,Champions,4
2,1012.0,201,14195,1,3,4,134,At Risk,5
1,335.52,106,14196,2,1,2,212,About to Sleep,5
4,701.4,17,14198,4,4,3,443,Loyal Customers,0
1,185.4,217,14199,1,1,1,111,About to Sleep,5
7,747.44,59,14201,3,5,3,353,Loyal Customers,0
1,161.03,1,14204,5,1,1,511,New Customers,0
2,466.7,16,14205,4,3,2,432,Loyal Customers,0
1,328.16,238,14206,1,1,2,112,About to Sleep,1
1,151.74,94,14208,2,1,1,211,About to Sleep,0
6,2073.43,10,14209,5,5,5,555,Champions,0
6,1905.84,105,14210,2,5,4,254,At Risk,5
9,2241.1,52,14211,3,5,5,355,Loyal Customers,7
1,1070.48,89,14212,2,1,4,214,About to Sleep,0
5,1004.38,30,14214,4,4,4,444,Champions,0
6,1789.72,11,14215,5,5,4,554,Champions,0
4,1839.3,2,14216,5,4,4,544,Champions,0
17,2004.98,1,14217,5,5,4,554,Champions,7
1,169.48,42,14218,3,1,1,311,Lost,0
1,89.94,3,14219,5,1,1,511,New Customers,0
2,632.4,246,14220,1,3,3,133,At Risk,1
9,3432.8,41,14221,3,5,5,355,Loyal Customers,7
1,683.17,176,14222,2,1,3,213,About to Sleep,5
3,991.13,91,14223,2,3,4,234,At Risk,0
4,1050.12,109,14224,2,4,4,244,At Risk,5
5,2232.19,28,14226,4,4,5,445,Champions,0
10,3350.96,25,14227,4,5,5,455,Champions,7
3,1547.2,51,14229,3,3,4,334,Loyal Customers,0
3,925.71,183,14231,1,3,3,133,At Risk,5
5,2048.07,42,14232,3,4,4,344,Loyal Customers,0
4,1462.72,48,14233,3,4,4,344,Loyal Customers,0
4,775.46,21,14234,4,4,3,443,Loyal Customers,0
5,3144.86,74,14235,2,4,5,245,At Risk,0
2,490.86,80,14236,2,3,3,233,At Risk,0
1,161.0,372,14237,1,1,1,111,About to Sleep,1
1,146.85,325,14238,1,1,1,111,About to Sleep,1
11,2380.85,42,14239,3,5,5,355,Loyal Customers,7
2,890.34,29,14240,4,3,3,433,Loyal Customers,0
1,213.7,183,14241,1,1,1,111,About to Sleep,5
2,280.55,234,14242,1,3,2,132,At Risk,1
10,2588.77,8,14243,5,5,5,555,Champions,7
2,1693.45,219,14245,1,3,4,134,At Risk,5
3,1474.06,110,14246,2,3,4,234,At Risk,5
1,136.77,277,14247,1,1,1,111,About to Sleep,1
1,302.58,317,14248,1,1,2,112,About to Sleep,1
3,1904.05,6,14250,5,3,4,534,Loyal Customers,0
5,2879.7,1,14251,5,4,5,545,Champions,0
2,969.06,259,14256,1,3,4,134,At Risk,1
5,3099.72,63,14257,3,4,5,345,Loyal Customers,0
9,12669.98,8,14258,5,5,5,555,Champions,7
1,120.0,141,14259,2,1,1,211,About to Sleep,5
2,1163.45,50,14261,3,3,4,334,Loyal Customers,0
8,2618.23,7,14262,5,5,5,555,Champions,7
2,333.97,154,14264,2,3,2,232,At Risk,5
2,530.18,108,14265,2,3,3,233,At Risk,5
3,1516.24,162,14267,2,3,4,234,At Risk,5
1,492.65,331,14270,1,1,3,113,About to Sleep,1
1,112.32,225,14271,1,1,1,111,About to Sleep,5
2,437.96,73,14272,2,3,2,232,At Risk,0
4,559.97,50,14273,3,4,3,343,Loyal Customers,0
3,1119.74,98,14276,2,3,4,234,At Risk,0
3,4216.2,14,14277,4,3,5,435,Loyal Customers,0
1,134.04,196,14280,1,1,1,111,About to Sleep,5
15,3729.34,2,14282,5,5,5,555,Champions,7
2,595.25,30,14284,4,3,3,433,Loyal Customers,0
4,1910.01,20,14285,4,4,4,444,Champions,0
3,4628.75,23,14286,4,3,5,435,Loyal Customers,0
3,176.63,7,14287,5,3,1,531,Loyal Customers,0
1,426.6,212,14288,1,1,2,112,About to Sleep,5
6,911.26,8,14289,5,5,3,553,Loyal Customers,0
5,2314.65,10,14290,5,4,5,545,Champions,0
11,3883.25,1,14291,5,5,5,555,Champions,7
9,4871.93,7,14292,5,5,5,555,Champions,7
4,1046.56,2,14293,5,4,4,544,Champions,0
1,166.2,39,14295,3,1,1,311,Lost,0
4,1305.33,17,14297,4,4,4,444,Champions,0
44,51527.3,7,14298,5,5,5,555,Champions,3
9,3965.62,7,14299,5,5,5,555,Champions,7
1,43.2,18,14300,4,1,1,411,New Customers,0
1,640.14,116,14301,2,1,3,213,About to Sleep,5
1,383.45,222,14304,1,1,2,112,About to Sleep,5
3,1858.96,70,14305,3,3,4,334,Loyal Customers,0
2,2093.32,50,14306,3,3,5,335,Loyal Customers,0
6,2995.72,88,14307,2,5,5,255,At Risk,0
9,2352.53,7,14309,5,5,5,555,Champions,7
1,310.26,242,14311,1,1,2,112,About to Sleep,1
6,1611.59,46,14312,3,5,4,354,Loyal Customers,0
1,120.0,106,14314,2,1,1,211,About to Sleep,5
6,2481.13,44,14315,3,5,5,355,Loyal Customers,0
1,508.58,64,14317,3,1,3,313,Promising,0
2,477.79,206,14320,1,3,2,132,At Risk,5
5,1530.75,10,14321,5,4,4,544,Champions,0
2,605.06,114,14323,2,3,3,233,At Risk,5
1,183.85,241,14326,1,1,1,111,About to Sleep,1
1,311.65,162,14327,2,1,2,212,About to Sleep,5
7,5014.84,16,14329,4,5,5,455,Champions,7
2,462.66,123,14331,2,3,2,232,At Risk,5
3,866.31,22,14332,4,3,3,433,Loyal Customers,0
1,415.2,67,14333,3,1,2,312,Lost,0
8,2552.21,16,14334,4,5,5,455,Champions,7
2,468.26,15,14335,4,3,2,432,Loyal Customers,0
4,1614.91,16,14336,4,4,4,444,Champions,0
2,588.22,160,14338,2,3,3,233,At Risk,5
1,309.52,242,14339,1,1,2,112,About to Sleep,1
1,134.7,218,14340,1,1,1,111,About to Sleep,5
8,2182.28,44,14341,3,5,5,355,Loyal Customers,7
4,668.56,20,14342,4,4,3,443,Loyal Customers,0
8,889.93,126,14344,2,5,3,253,At Risk,5
1,108.98,38,14345,3,1,1,311,Lost,0
2,1021.58,120,14346,2,3,4,234,At Risk,5
1,409.57,259,14348,1,1,2,112,About to Sleep,1
1,133.5,9,14349,5,1,1,511,New Customers,0
1,282.93,273,14350,1,1,2,112,About to Sleep,1
1,51.0,164,14351,2,1,1,211,About to Sleep,5
4,1078.96,156,14352,2,4,4,244,At Risk,5
1,90.6,214,14353,1,1,1,111,About to Sleep,5
2,163.62,5,14354,5,3,1,531,Loyal Customers,0
1,174.4,365,14355,1,1,1,111,About to Sleep,1
2,701.23,79,14356,2,3,3,233,At Risk,0
1,225.77,42,14357,3,1,1,311,Lost,0
3,912.18,18,14359,4,3,3,433,Loyal Customers,0
4,2128.23,31,14360,4,4,5,445,Champions,0
1,161.2,21,14362,4,1,1,411,New Customers,0
8,3717.35,108,14364,2,5,5,255,At Risk,7
16,9261.52,7,14367,5,5,5,555,Champions,7
1,155.0,319,14368,1,1,1,111,About to Sleep,1
1,100.5,294,14371,1,1,1,111,About to Sleep,1
1,76.55,357,14373,1,1,1,111,About to Sleep,1
1,257.68,184,14375,1,1,2,112,About to Sleep,5
2,617.05,190,14377,1,3,3,133,At Risk,5
2,348.1,43,14379,3,3,2,332,Loyal Customers,0
1,202.68,51,14381,3,1,1,311,Lost,0
1,626.07,25,14382,4,1,3,413,New Customers,0
3,1247.69,37,14383,3,3,4,334,Loyal Customers,0
3,202.11,8,14385,5,3,1,531,Loyal Customers,0
1,142.4,296,14386,1,1,1,111,About to Sleep,1
3,1770.56,32,14387,3,3,4,334,Loyal Customers,0
8,3212.84,9,14388,5,5,5,555,Champions,7
2,1043.46,64,14389,3,3,4,334,Loyal Customers,0
9,4652.82,9,14390,5,5,5,555,Champions,7
1,67.95,217,14393,1,1,1,111,About to Sleep,5
9,3507.71,1,14395,5,5,5,555,Champions,7
2,487.99,64,14396,3,3,2,332,Loyal Customers,0
19,2612.96,2,14397,5,5,5,555,Champions,7
1,574.7,148,14400,2,1,3,213,About to Sleep,5
13,4051.48,3,14401,5,5,5,555,Champions,7
4,1475.81,129,14403,2,4,4,244,At Risk,5
6,1474.32,33,14404,3,5,4,354,Loyal Customers,0
1,156.75,118,14406,2,1,1,211,About to Sleep,5
6,2157.73,106,14407,2,5,5,255,At Risk,5
7,2606.53,10,14408,5,5,5,555,Champions,7
6,2059.45,70,14409,3,5,5,355,Loyal Customers,0
9,1105.07,91,14410,2,5,4,254,At Risk,7
1,1063.0,310,14411,1,1,4,114,About to Sleep,1
2,770.03,42,14412,3,3,3,333,Loyal Customers,0
1,122.7,361,14413,1,1,1,111,About to Sleep,1
7,1496.98,91,14414,2,5,4,254,At Risk,0
13,5900.28,0,14415,5,5,5,555,Champions,7
2,490.22,21,14416,4,3,3,433,Loyal Customers,0
3,1937.25,3,14418,5,3,4,534,Loyal Customers,0
6,1058.06,10,14419,5,5,4,554,Champions,0
1,387.52,98,14420,2,1,2,212,About to Sleep,5
2,813.11,56,14421,3,3,3,333,Loyal Customers,0
6,4263.64,0,14422,5,5,5,555,Champions,7
1,265.2,217,14423,1,1,2,112,About to Sleep,5
1,322.08,17,14424,4,1,2,412,New Customers,0
10,4481.67,23,14426,4,5,5,455,Champions,7
2,363.34,49,14427,3,3,2,332,Loyal Customers,0
5,1244.83,6,14428,5,4,4,544,Champions,0
1,470.36,302,14431,1,1,2,112,About to Sleep,1
6,2255.51,9,14432,5,5,5,555,Champions,0
6,1372.8,21,14434,4,5,4,454,Champions,0
1,89.06,98,14436,2,1,1,211,About to Sleep,5
1,63.0,365,14437,1,1,1,111,About to Sleep,1
1,131.9,305,14438,1,1,1,111,About to Sleep,1
1,2661.24,319,14439,1,1,5,115,About to Sleep,1
5,2357.68,7,14440,5,4,5,545,Champions,0
4,1712.89,0,14441,5,4,4,544,Champions,0
2,1589.82,204,14442,1,3,4,134,At Risk,5
4,1420.2,53,14443,3,4,4,344,Loyal Customers,0
4,1039.58,0,14446,5,4,4,544,Champions,0
5,1163.23,18,14447,4,4,4,444,Champions,0
2,375.35,8,14448,5,3,2,532,Loyal Customers,0
4,907.1,18,14449,4,4,3,443,Loyal Customers,0
3,483.25,180,14450,1,3,2,132,At Risk,5
2,662.59,59,14451,3,3,3,333,Loyal Customers,0
2,264.44,10,14452,5,3,2,532,Loyal Customers,0
1,119.93,189,14453,1,1,1,111,About to Sleep,5
9,3062.4,4,14456,5,5,5,555,Champions,7
1,113.64,310,14457,1,1,1,111,About to Sleep,1
1,1837.92,154,14459,2,1,4,214,About to Sleep,5
3,434.34,109,14460,2,3,2,232,At Risk,5
3,2103.06,147,14461,2,3,5,235,At Risk,5
11,2004.02,65,14462,3,5,4,354,Loyal Customers,7
3,529.62,97,14463,2,3,3,233,At Risk,0
3,1058.62,246,14465,1,3,4,134,At Risk,1
7,2272.4,28,14466,4,5,5,455,Champions,7
4,598.76,17,14467,4,4,3,443,Loyal Customers,0
2,461.19,11,14470,5,3,2,532,Loyal Customers,0
8,1936.84,103,14472,2,5,4,254,At Risk,7
2,234.34,73,14473,2,3,1,231,At Risk,0
1,547.66,45,14474,3,1,3,313,Promising,0
3,925.85,71,14475,2,3,3,233,At Risk,0
1,215.7,256,14476,1,1,1,111,About to Sleep,1
4,1309.6,19,14477,4,4,4,444,Champions,0
2,316.25,253,14479,1,3,2,132,At Risk,1
1,279.05,10,14480,5,1,2,512,New Customers,0
2,636.51,164,14481,2,3,3,233,At Risk,5
6,2068.15,17,14482,4,5,5,455,Champions,0
1,137.1,281,14483,1,1,1,111,About to Sleep,1
1,321.92,49,14484,3,1,2,312,Lost,0
1,165.75,38,14485,3,1,1,311,Lost,0
6,1196.33,26,14487,4,5,4,454,Champions,0
1,1064.28,67,14488,3,1,4,314,Promising,0
1,463.38,206,14489,1,1,2,112,About to Sleep,5
2,340.93,174,14491,2,3,2,232,At Risk,5
